timestamp,phase,k_neighbors,resolution,algorithm,n_clusters,avg_cluster_size,nmi,purity,ari,modularity,composite_score,elapsed_sec
2026-04-23 09:16:14,coarse,20,30.0,Leiden,335,32.776119,0.696139,0.337978,0.218722,0.503400,0.462008,6.451423
2026-04-23 09:16:14,coarse,20,30.0,Louvain,323,33.993808,0.694055,0.333333,0.217402,0.502501,0.459759,6.602348
2026-04-23 09:16:22,coarse,20,50.0,Leiden,491,22.362525,0.718799,0.384153,0.226869,0.454624,0.477873,6.750781
2026-04-23 09:16:22,coarse,20,50.0,Louvain,488,22.500000,0.717860,0.382787,0.225907,0.456407,0.477114,6.945775
2026-04-23 09:16:29,coarse,20,80.0,Leiden,737,14.898236,0.740960,0.437705,0.225998,0.400589,0.491783,6.925423
2026-04-23 09:16:29,coarse,20,80.0,Louvain,736,14.918478,0.741369,0.439617,0.223872,0.398483,0.491481,7.191334
2026-04-23 09:16:37,coarse,20,100.0,Leiden,918,11.960784,0.752708,0.474681,0.224882,0.370923,0.500576,6.951414
2026-04-23 09:16:37,coarse,20,100.0,Louvain,902,12.172949,0.751026,0.470492,0.223813,0.371803,0.498833,7.347006
2026-04-23 09:16:45,coarse,25,1.0,Leiden,21,522.857143,0.427231,0.086430,0.027571,0.717744,0.268224,6.647325
2026-04-23 09:16:45,coarse,25,1.0,Louvain,21,522.857143,0.437694,0.088342,0.032584,0.706027,0.273124,7.138752
2026-04-23 09:16:53,coarse,25,5.0,Leiden,76,144.473684,0.574335,0.179235,0.099723,0.636366,0.359134,6.683939
2026-04-23 09:16:53,coarse,25,5.0,Louvain,75,146.400000,0.568316,0.175410,0.094826,0.623279,0.353184,7.123679
2026-04-23 09:17:00,coarse,25,10.0,Leiden,130,84.461538,0.622752,0.230328,0.146114,0.570603,0.396061,6.706142
2026-04-23 09:17:00,coarse,25,10.0,Louvain,134,81.940299,0.621556,0.230783,0.144118,0.562523,0.394267,6.845518
2026-04-23 09:17:08,coarse,25,20.0,Leiden,234,46.923077,0.668230,0.290984,0.190840,0.504023,0.433143,6.516366
2026-04-23 09:17:08,coarse,25,20.0,Louvain,232,47.327586,0.664145,0.285155,0.187241,0.500265,0.428888,6.888602
2026-04-23 09:17:15,coarse,25,30.0,Leiden,316,34.746835,0.688983,0.323406,0.209716,0.467871,0.449976,6.288917
2026-04-23 09:17:15,coarse,25,30.0,Louvain,317,34.637224,0.687611,0.323679,0.208104,0.461387,0.448350,6.707809
2026-04-23 09:17:23,coarse,25,50.0,Leiden,501,21.916168,0.717860,0.381785,0.229903,0.411949,0.473667,6.437970
2026-04-23 09:17:23,coarse,25,50.0,Louvain,496,22.137097,0.716712,0.383515,0.227537,0.408513,0.472500,6.805229
2026-04-23 09:17:30,coarse,25,80.0,Leiden,789,13.916350,0.743897,0.448816,0.235095,0.352256,0.493076,6.578661
2026-04-23 09:17:30,coarse,25,80.0,Louvain,779,14.094994,0.741510,0.445537,0.232885,0.350748,0.490652,6.876930
2026-04-23 09:17:38,coarse,25,100.0,Leiden,990,11.090909,0.753651,0.476685,0.228978,0.322491,0.497740,6.632714
2026-04-23 09:17:38,coarse,25,100.0,Louvain,996,11.024096,0.753529,0.481512,0.228371,0.318202,0.498046,6.830681
2026-04-23 09:17:46,coarse,30,1.0,Leiden,22,499.090909,0.423055,0.086885,0.024714,0.704900,0.264503,6.807180
2026-04-23 09:17:46,coarse,30,1.0,Louvain,20,549.000000,0.420044,0.086066,0.024675,0.692873,0.261921,7.176769
2026-04-23 09:17:53,coarse,30,5.0,Leiden,68,161.470588,0.559355,0.165574,0.091702,0.614829,0.345850,6.205266
